id,type,degree,label
b637a3e7d8b0caa947aaefd609b8d84a9ee962cf0a52a51bac507ffc2bf1b741,customer,407,b637a3e7d8b0caa9
a65f77281a528bf5c1e9f270141d601d116e1df33bf9df512f495ee06647a9cc,customer,372,a65f77281a528bf5
cd04ec2726dd58a8c753e0d6423e57716fd9ebcf2f14ed6012e7e5bea016b4d6,customer,366,cd04ec2726dd58a8
be1981ab818cf4ef6765b2ecaea7a2cbf14ccd6e8a7ee985513d9e8e53c6d91b,customer,363,be1981ab818cf4ef
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,customer,346,49beaacac0c7801c
60c8dfc36653461f03d6001b77e7cf6182cf2d71f914c9295f7287126ae8da32,customer,328,60c8dfc36653461f
d80ed4ababfa96812e22b911629e6bcbf5093769051ea447e2b696ac98a3dae9,customer,328,d80ed4ababfa9681
b4db5e5259234574edfff958e170fe3a5e13b6f146752ca066abca3c156acc71,customer,319,b4db5e5259234574
863f0e03da282ae32a76775ce55d8a4605a85c84a26066e1ad0e9469e8c40e68,customer,314,863f0e03da282ae3
a3ab708684132c6bbd3dad7aa41f9b9c7d1c95d7d5cb1a3a052905191e858566,customer,304,a3ab708684132c6b
4308983955108b3af43ec57f0557211e44462a5633238351fff14c8b51f16093,customer,294,4308983955108b3a
9150085d4efd2dcfdb954180217ce6c2b6e3399963fb19daef2cf6078a77903e,customer,294,9150085d4efd2dcf
583e49315c641cc80f160f38f4cb5fc40c36b0d7845c036831355405591b290b,customer,290,583e49315c641cc8
e0c18188150a1b6cf8b54f407c50a63989d7183d3c2ef8cc86acd4ddde5b06bd,customer,286,e0c18188150a1b6c
5a1cf6cc59d94c0cd039b27524c8f5e42a9e0e0fe240fc340e0bef659a0cc1eb,customer,284,5a1cf6cc59d94c0c
0d4fb6fb46dfe2759bcf7bc80340e8915b207aa2f74b5b3c76f74d3ce28359e8,customer,282,0d4fb6fb46dfe275
7f0ac4394297dc4a885d3b9277ba526cbbfbf7fb7cae465b256ed8e55b864f03,customer,272,7f0ac4394297dc4a
77db96923d20d40532eba0020b55cd91eb51358885c2d698a2805e79481f64a1,customer,270,77db96923d20d405
8a9d4d7e454a745d3ac77645ca8afd7123b1f3d5d4e4bf6c7de13c9e7bc54f8e,customer,269,8a9d4d7e454a745d
3172059f53a1f09d029ab1f98d582264ffaa2aab763461b9aebfeecd944113af,customer,267,3172059f53a1f09d
0f14ce6ca6b429a8f37107340561c3cb7214d409d9533faddab98c4796558690,customer,266,0f14ce6ca6b429a8
98e6d2f440e7b29dc139b2e911f41adc1f814e09f16aca6e373041671ab2bdeb,customer,265,98e6d2f440e7b29d
642a8441d5ac8b0f7aec69939a2d9758ed8d359215cfd49906e9b966c088b4c7,customer,251,642a8441d5ac8b0f
da238451e433f12a64f9df261918b9a60919c9ea1d3a2b1d2c1a4fa9a2ccee6a,customer,249,da238451e433f12a
e42231a49cc0181977d6766178f22ffb588574faccd2e5d630864cdb5bca367c,customer,249,e42231a49cc01819
f137c16fd175271922dad4006565503952f24750a57388fe24970a218c62de6a,customer,245,f137c16fd1752719
6980555e2eaa19a3f9f8df02e983a8e50abddf6e49cc6310ee45cce60284b62f,customer,244,6980555e2eaa19a3
4043fdbe22eb397206dabf520d2d88651179724ac19ccf6e69efadfd3da530b6,customer,243,4043fdbe22eb3972
d426886e28420985dace253e989c7cc3211440f421276112def52124165cca2c,customer,243,d426886e28420985
2399cf8a4ac08644be5df6bc31de4364bfbcf235f65d0f08539f277a92872310,customer,243,2399cf8a4ac08644
927957001,product,16,927957001
797311001,product,1,797311001
907903001,product,4,907903001
866943003,product,2,866943003
907903002,product,1,907903002
855081004,product,22,855081004
660308016,product,5,660308016
931070001,product,8,931070001
925139002,product,1,925139002
823165001,product,42,823165001
823165002,product,16,823165002
925565003,product,4,925565003
823165005,product,22,823165005
827687002,product,9,827687002
827687003,product,19,827687003
827687006,product,7,827687006
881361001,product,18,881361001
881361003,product,11,881361003
881361004,product,5,881361004
881361005,product,6,881361005
875856001,product,8,875856001
875856002,product,3,875856002
695632002,product,38,695632002
685605001,product,5,685605001
888570001,product,13,888570001
685605011,product,2,685605011
685605012,product,3,685605012
686031002,product,13,686031002
751567004,product,1,751567004
751567006,product,7,751567006
839844002,product,7,839844002
802980002,product,18,802980002
839844003,product,7,839844003
820642001,product,4,820642001
839287001,product,8,839287001
839287007,product,3,839287007
854262002,product,30,854262002
872907001,product,9,872907001
903840002,product,9,903840002
914293001,product,4,914293001
914293003,product,3,914293003
914293004,product,1,914293004
869663001,product,19,869663001
779551002,product,19,779551002
869663003,product,17,869663003
861471001,product,14,861471001
