customer_id,customer_idx,article_id,score,rank,model
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999873,635164007,10.808359,1,ALS
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999873,881135004,6.237005,2,ALS
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999873,691695025,5.9550405,3,ALS
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999873,694298008,5.211491,4,ALS
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999873,701784020,3.9241042,5,ALS
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999873,816790005,3.913185,6,ALS
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999873,731889008,3.6485984,7,ALS
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999873,846337001,3.603111,8,ALS
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999873,790518003,3.5753381,9,ALS
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999873,598665003,3.5271962,10,ALS
a3ab708684132c6bbd3dad7aa41f9b9c7d1c95d7d5cb1a3a052905191e858566,-999859,881135004,11.393181,1,ALS
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999859,881135004,11.393181,1,ALS
a3ab708684132c6bbd3dad7aa41f9b9c7d1c95d7d5cb1a3a052905191e858566,-999859,694298008,9.1224,2,ALS
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999859,694298008,9.1224,2,ALS
a3ab708684132c6bbd3dad7aa41f9b9c7d1c95d7d5cb1a3a052905191e858566,-999859,635164007,8.754921,3,ALS
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999859,635164007,8.754921,3,ALS
a3ab708684132c6bbd3dad7aa41f9b9c7d1c95d7d5cb1a3a052905191e858566,-999859,832009001,8.49504,4,ALS
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999859,832009001,8.49504,4,ALS
a3ab708684132c6bbd3dad7aa41f9b9c7d1c95d7d5cb1a3a052905191e858566,-999859,721683001,7.739279,5,ALS
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999859,721683001,7.739279,5,ALS
a3ab708684132c6bbd3dad7aa41f9b9c7d1c95d7d5cb1a3a052905191e858566,-999859,701784020,7.2930202,6,ALS
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999859,701784020,7.2930202,6,ALS
a3ab708684132c6bbd3dad7aa41f9b9c7d1c95d7d5cb1a3a052905191e858566,-999859,816790005,6.9859114,7,ALS
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999859,816790005,6.9859114,7,ALS
a3ab708684132c6bbd3dad7aa41f9b9c7d1c95d7d5cb1a3a052905191e858566,-999859,839766002,6.8770556,8,ALS
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999859,839766002,6.8770556,8,ALS
a3ab708684132c6bbd3dad7aa41f9b9c7d1c95d7d5cb1a3a052905191e858566,-999859,765743002,6.7771454,9,ALS
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999859,765743002,6.7771454,9,ALS
a3ab708684132c6bbd3dad7aa41f9b9c7d1c95d7d5cb1a3a052905191e858566,-999859,653275006,6.527053,10,ALS
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999859,653275006,6.527053,10,ALS
d80ed4ababfa96812e22b911629e6bcbf5093769051ea447e2b696ac98a3dae9,-999857,635164007,20.416273,1,ALS
d80ed4ababfa96812e22b911629e6bcbf5093769051ea447e2b696ac98a3dae9,-999857,852540001,8.801457,2,ALS
d80ed4ababfa96812e22b911629e6bcbf5093769051ea447e2b696ac98a3dae9,-999857,570002100,8.015094,3,ALS
d80ed4ababfa96812e22b911629e6bcbf5093769051ea447e2b696ac98a3dae9,-999857,881135004,7.92807,4,ALS
d80ed4ababfa96812e22b911629e6bcbf5093769051ea447e2b696ac98a3dae9,-999857,846337001,7.1889715,5,ALS
d80ed4ababfa96812e22b911629e6bcbf5093769051ea447e2b696ac98a3dae9,-999857,898237001,6.4554853,6,ALS
d80ed4ababfa96812e22b911629e6bcbf5093769051ea447e2b696ac98a3dae9,-999857,879259001,6.2974834,7,ALS
d80ed4ababfa96812e22b911629e6bcbf5093769051ea447e2b696ac98a3dae9,-999857,785520001,6.0207863,8,ALS
d80ed4ababfa96812e22b911629e6bcbf5093769051ea447e2b696ac98a3dae9,-999857,880379001,5.09806,9,ALS
d80ed4ababfa96812e22b911629e6bcbf5093769051ea447e2b696ac98a3dae9,-999857,878183001,4.772149,10,ALS
a3ab708684132c6bbd3dad7aa41f9b9c7d1c95d7d5cb1a3a052905191e858566,-999852,635164007,2.373348,1,ALS
a3ab708684132c6bbd3dad7aa41f9b9c7d1c95d7d5cb1a3a052905191e858566,-999852,821398009,2.222333,2,ALS
a3ab708684132c6bbd3dad7aa41f9b9c7d1c95d7d5cb1a3a052905191e858566,-999852,779612007,1.7922565,3,ALS
a3ab708684132c6bbd3dad7aa41f9b9c7d1c95d7d5cb1a3a052905191e858566,-999852,571041001,1.6754346,4,ALS
a3ab708684132c6bbd3dad7aa41f9b9c7d1c95d7d5cb1a3a052905191e858566,-999852,868038004,1.4947007,5,ALS
a3ab708684132c6bbd3dad7aa41f9b9c7d1c95d7d5cb1a3a052905191e858566,-999852,744306003,1.4275029,6,ALS
a3ab708684132c6bbd3dad7aa41f9b9c7d1c95d7d5cb1a3a052905191e858566,-999852,766785002,1.3485533,7,ALS
a3ab708684132c6bbd3dad7aa41f9b9c7d1c95d7d5cb1a3a052905191e858566,-999852,186266004,1.3353183,8,ALS
a3ab708684132c6bbd3dad7aa41f9b9c7d1c95d7d5cb1a3a052905191e858566,-999852,911340002,1.32346,9,ALS
a3ab708684132c6bbd3dad7aa41f9b9c7d1c95d7d5cb1a3a052905191e858566,-999852,718086009,1.1802391,10,ALS
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999827,635164007,3.3809545,1,ALS
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999827,744306003,2.3729365,2,ALS
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999827,852285001,2.203811,3,ALS
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999827,461327018,2.0984988,4,ALS
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999827,845080001,1.7984967,5,ALS
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999827,870662001,1.7959812,6,ALS
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999827,562252039,1.6179607,7,ALS
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999827,852414001,1.5760403,8,ALS
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999827,806605002,1.5526396,9,ALS
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999827,691695025,1.5486687,10,ALS
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999651,881135004,9.924548,1,ALS
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999651,635164007,9.877871,2,ALS
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999651,694298008,8.726222,3,ALS
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999651,715255013,8.11128,4,ALS
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999651,846407001,7.2255936,5,ALS
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999651,821398009,6.991265,6,ALS
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999651,816790005,6.8929653,7,ALS
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999651,661864001,6.569131,8,ALS
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999651,701784020,5.9453535,9,ALS
49beaacac0c7801c2ce2d189efe525fe80b5d37e46ed05b50a4cd88e34d0748f,-999651,813060015,5.890141,10,ALS
a3ab708684132c6bbd3dad7aa41f9b9c7d1c95d7d5cb1a3a052905191e858566,-999551,635164007,8.799511,1,ALS
a3ab708684132c6bbd3dad7aa41f9b9c7d1c95d7d5cb1a3a052905191e858566,-999551,832009001,6.1854463,2,ALS
a3ab708684132c6bbd3dad7aa41f9b9c7d1c95d7d5cb1a3a052905191e858566,-999551,852540001,4.8934584,3,ALS
a3ab708684132c6bbd3dad7aa41f9b9c7d1c95d7d5cb1a3a052905191e858566,-999551,499334001,4.886053,4,ALS
a3ab708684132c6bbd3dad7aa41f9b9c7d1c95d7d5cb1a3a052905191e858566,-999551,821398009,4.8823814,5,ALS
a3ab708684132c6bbd3dad7aa41f9b9c7d1c95d7d5cb1a3a052905191e858566,-999551,653275006,4.878549,6,ALS
a3ab708684132c6bbd3dad7aa41f9b9c7d1c95d7d5cb1a3a052905191e858566,-999551,846337001,4.582559,7,ALS
a3ab708684132c6bbd3dad7aa41f9b9c7d1c95d7d5cb1a3a052905191e858566,-999551,699580001,4.5099444,8,ALS
